time,open,high,low,close,volume,ticker
2019-09-27,10.77,10.77,10.77,10.77,200,CKV
2019-09-30,10.97,10.97,10.97,10.97,600,CKV
2019-10-01,10.97,10.97,10.97,10.97,0,CKV
2019-10-02,10.97,10.97,10.97,10.97,0,CKV
2019-10-03,9.87,9.87,9.87,9.87,100,CKV
2019-10-04,9.12,9.12,9.12,9.12,100,CKV
2019-10-07,9.12,9.12,9.12,9.12,0,CKV
2019-10-08,9.12,9.12,9.12,9.12,0,CKV
2019-10-09,9.12,9.12,9.12,9.12,0,CKV
2019-10-10,9.12,9.12,9.12,9.12,0,CKV
2019-10-11,9.12,9.12,9.12,9.12,0,CKV
2019-10-14,9.12,9.12,9.12,9.12,0,CKV
2019-10-15,9.12,9.12,9.12,9.12,0,CKV
2019-10-16,8.23,9.53,8.23,9.53,300,CKV
2019-10-17,9.53,9.53,9.53,9.53,0,CKV
2019-10-18,9.53,9.53,9.53,9.53,0,CKV
2019-10-21,8.78,9.94,8.78,9.94,300,CKV
2019-10-22,9.12,9.12,9.12,9.12,100,CKV
2019-10-23,9.12,9.12,9.12,9.12,0,CKV
2019-10-24,9.12,9.12,9.12,9.12,0,CKV
2019-10-25,9.53,9.53,9.53,9.53,200,CKV
2019-10-28,10.22,10.22,10.22,10.22,300,CKV
2019-10-29,11.11,11.11,11.11,11.11,500,CKV
2019-10-30,11.11,11.11,11.11,11.11,0,CKV
2019-10-31,12.14,12.14,12.14,12.14,600,CKV
2019-11-01,11.04,11.04,11.04,11.04,100,CKV
2019-11-04,9.94,9.94,9.94,9.94,1300,CKV
2019-11-05,9.94,9.94,9.94,9.94,300,CKV
2019-11-06,9.94,9.94,9.94,9.94,300,CKV
2019-11-07,9.94,9.94,9.94,9.94,300,CKV
2019-11-08,9.12,9.12,9.12,9.12,100,CKV
2019-11-11,9.12,9.12,9.12,9.12,0,CKV
2019-11-12,9.12,9.12,9.12,9.12,0,CKV
2019-11-13,9.6,9.6,9.6,9.6,5300,CKV
2019-11-14,9.6,9.6,9.6,9.6,0,CKV
2019-11-15,9.6,9.6,9.6,9.6,0,CKV
2019-11-18,9.6,9.6,9.6,9.6,0,CKV
2019-11-19,9.6,9.6,9.6,9.6,0,CKV
2019-11-20,10.49,10.49,10.49,10.49,100,CKV
2019-11-21,10.49,10.49,10.49,10.49,0,CKV
2019-11-22,9.94,9.94,9.94,9.94,500,CKV
2019-11-25,10.83,10.83,10.83,10.83,100,CKV
2019-11-26,10.83,10.83,10.83,10.83,0,CKV
2019-11-27,10.83,10.83,10.83,10.83,0,CKV
2019-11-28,10.83,10.83,10.83,10.83,0,CKV
2019-11-29,10.83,10.83,10.83,10.83,0,CKV
2019-12-02,10.83,10.83,10.83,10.83,0,CKV
2019-12-03,10.83,10.83,10.83,10.83,0,CKV
2019-12-04,10.83,10.83,10.83,10.83,0,CKV
2019-12-05,10.83,10.83,10.83,10.83,0,CKV
2019-12-06,11.59,11.59,11.59,11.59,100,CKV
2019-12-09,11.59,11.59,11.59,11.59,0,CKV
2019-12-10,11.59,11.59,11.59,11.59,0,CKV
2019-12-11,11.59,11.59,11.59,11.59,0,CKV
2019-12-12,11.59,11.59,11.59,11.59,0,CKV
2019-12-13,11.59,11.59,11.59,11.59,0,CKV
2019-12-16,11.59,11.59,11.59,11.59,0,CKV
2019-12-17,11.59,11.59,11.59,11.59,0,CKV
2019-12-18,10.49,10.49,10.49,10.49,100,CKV
2019-12-19,10.49,10.49,10.49,10.49,0,CKV
2019-12-20,10.01,10.01,10.01,10.01,1000,CKV
2019-12-23,9.94,9.94,9.94,9.94,600,CKV
2019-12-24,9.94,9.94,9.94,9.94,0,CKV
2019-12-25,8.98,8.98,8.98,8.98,100,CKV
2019-12-26,8.98,8.98,8.98,8.98,0,CKV
2019-12-27,9.81,9.81,9.81,9.81,300,CKV
2019-12-30,10.15,10.29,10.15,10.29,400,CKV
2019-12-31,11.31,11.31,11.31,11.31,2200,CKV
2020-01-02,10.22,10.22,10.22,10.22,100,CKV
2020-01-03,9.33,9.33,9.33,9.33,100,CKV
2020-01-06,9.33,9.33,9.33,9.33,0,CKV
2020-01-07,9.33,9.33,9.33,9.33,0,CKV
2020-01-08,9.33,9.33,9.33,9.33,0,CKV
2020-01-09,9.33,9.33,9.33,9.33,0,CKV
2020-01-10,9.33,9.33,9.33,9.33,0,CKV
2020-01-13,9.33,9.33,9.33,9.33,0,CKV
2020-01-14,9.33,9.33,9.33,9.33,0,CKV
2020-01-15,8.5,10.22,8.5,10.22,300,CKV
2020-01-16,9.33,11.18,9.33,11.18,300,CKV
2020-01-17,10.08,10.08,10.08,10.08,100,CKV
2020-01-20,9.19,11.04,9.19,11.04,300,CKV
2020-01-21,9.94,12.14,9.94,12.14,500,CKV
2020-01-22,10.97,12.14,10.97,12.14,500,CKV
2020-01-30,12.21,12.55,12.21,12.55,400,CKV
2020-01-31,12.55,12.55,12.55,12.55,0,CKV
2020-02-03,11.31,11.31,11.31,11.31,100,CKV
2020-02-04,10.22,10.22,10.22,10.22,100,CKV
2020-02-05,9.33,9.33,9.33,9.33,100,CKV
2020-02-06,9.33,9.33,9.33,9.33,0,CKV
2020-02-07,9.33,9.33,9.33,9.33,0,CKV
2020-02-10,9.33,9.33,9.33,9.33,500,CKV
2020-02-11,9.33,10.01,9.33,9.39,2400,CKV
2020-02-12,8.64,8.64,8.64,8.64,100,CKV
2020-02-13,8.64,8.64,8.64,8.64,0,CKV
2020-02-14,8.64,8.64,8.64,8.64,0,CKV
2020-02-17,9.46,9.46,9.46,9.46,1600,CKV
2020-02-18,8.71,8.71,8.71,8.71,100,CKV
2020-02-19,9.53,9.53,9.53,9.53,1000,CKV
2020-02-20,9.53,9.53,9.53,9.53,0,CKV
2020-02-21,10.42,10.42,10.42,10.42,200,CKV
2020-02-24,11.45,11.45,11.45,11.45,200,CKV
2020-02-25,11.04,11.04,11.04,11.04,100,CKV
2020-02-26,9.94,11.04,9.94,11.04,700,CKV
2020-02-27,9.94,10.97,9.94,10.97,500,CKV
2020-02-28,9.87,10.83,9.87,10.83,1400,CKV
2020-03-02,9.81,9.81,9.81,9.81,400,CKV
2020-03-03,8.98,9.81,8.98,9.81,200,CKV
2020-03-04,9.81,9.81,9.81,9.81,0,CKV
2020-03-05,8.98,10.29,8.98,10.29,300,CKV
2020-03-06,11.18,11.18,11.18,11.18,200,CKV
2020-03-09,10.08,10.08,10.08,10.08,100,CKV
2020-03-10,9.19,10.15,9.19,10.15,700,CKV
2020-03-11,9.19,10.63,9.19,10.63,300,CKV
2020-03-12,9.6,10.49,9.6,10.49,400,CKV
2020-03-13,9.46,9.46,9.46,9.46,100,CKV
2020-03-16,8.64,8.64,8.64,8.64,100,CKV
2020-03-17,9.46,9.46,9.46,9.46,200,CKV
2020-03-18,9.74,9.74,9.74,9.74,200,CKV
2020-03-19,9.74,9.74,9.74,9.74,0,CKV
2020-03-20,10.56,10.56,10.56,10.56,200,CKV
2020-03-23,11.04,11.04,11.04,11.04,200,CKV
2020-03-24,9.94,11.86,9.94,11.86,400,CKV
2020-03-25,11.86,11.86,11.86,11.86,0,CKV
2020-03-26,11.86,11.86,11.86,11.86,0,CKV
2020-03-27,11.86,11.86,11.86,11.86,0,CKV
2020-03-30,12.21,12.21,12.21,12.21,300,CKV
2020-03-31,12.48,12.48,12.48,12.48,200,CKV
2020-04-01,12.48,12.48,12.48,12.48,0,CKV
2020-04-03,12.48,12.48,12.48,12.48,0,CKV
2020-04-06,12.48,12.48,12.48,12.48,0,CKV
2020-04-07,12.48,12.48,12.48,12.48,0,CKV
2020-04-08,12.48,12.48,12.48,12.48,0,CKV
2020-04-09,12.48,12.48,12.48,12.48,0,CKV
2020-04-10,12.48,12.48,12.48,12.48,0,CKV
2020-04-13,12.48,12.48,12.48,12.48,0,CKV
2020-04-14,12.48,12.48,12.48,12.48,0,CKV
2020-04-15,12.48,12.48,12.48,12.48,0,CKV
2020-04-16,12.48,12.48,12.48,12.48,0,CKV
2020-04-17,12.48,12.48,12.48,12.48,0,CKV
2020-04-20,11.25,11.25,11.25,11.25,100,CKV
2020-04-21,11.25,11.25,11.25,11.25,0,CKV
2020-04-22,11.25,11.25,11.25,11.25,0,CKV
2020-04-23,10.15,10.15,10.15,10.15,200,CKV
2020-04-24,9.19,10.29,9.19,10.29,400,CKV
2020-04-27,9.33,10.9,9.33,10.9,500,CKV
2020-04-28,9.87,9.87,9.87,9.87,300,CKV
2020-04-29,10.63,10.63,10.63,10.63,300,CKV
2020-05-04,10.63,10.63,10.63,10.63,0,CKV
2020-05-05,9.67,9.67,9.67,9.67,200,CKV
2020-05-06,9.67,9.67,9.67,9.67,0,CKV
2020-05-07,9.67,9.67,9.67,9.67,0,CKV
2020-05-08,9.67,9.67,9.67,9.67,0,CKV
2020-05-11,9.67,9.67,9.67,9.67,0,CKV
2020-05-12,9.05,9.05,9.05,9.05,100,CKV
2020-05-13,9.87,9.94,9.87,9.94,500,CKV
2020-05-14,9.94,9.94,9.94,9.94,0,CKV
2020-05-15,9.94,9.94,9.94,9.94,0,CKV
2020-05-18,9.94,9.94,9.94,9.94,0,CKV
2020-05-19,9.94,9.94,9.94,9.94,0,CKV
2020-05-20,9.6,9.6,9.6,9.6,500,CKV
2020-05-21,9.6,9.6,9.6,9.6,0,CKV
2020-05-22,9.6,9.6,9.6,9.6,0,CKV
2020-05-25,8.91,8.91,8.91,8.91,2100,CKV
2020-05-26,8.23,9.81,8.02,9.81,2950,CKV
2020-05-27,10.42,10.42,10.42,10.42,300,CKV
2020-05-28,9.39,10.63,9.39,10.63,2500,CKV
2020-05-29,10.63,10.63,10.63,10.63,0,CKV
2020-06-01,9.6,9.6,9.6,9.6,200,CKV
2020-06-02,9.26,9.26,8.91,8.91,200,CKV
2020-06-03,8.91,8.91,8.91,8.91,0,CKV
2020-06-04,8.91,8.91,8.91,8.91,1050,CKV
2020-06-05,9.6,9.6,8.91,8.91,3100,CKV
2020-06-08,8.91,8.91,8.23,8.23,3100,CKV
2020-06-09,7.47,8.57,7.47,8.23,50600,CKV
2020-06-10,7.75,7.75,7.75,7.75,100,CKV
2020-06-11,7.82,8.09,7.82,8.09,1400,CKV
2020-06-12,7.61,8.23,7.61,8.23,300,CKV
2020-06-15,8.23,8.23,8.23,8.23,0,CKV
2020-06-16,8.43,8.43,8.43,8.43,200,CKV
2020-06-17,8.43,8.43,8.43,8.43,0,CKV
2020-06-18,8.16,8.16,8.16,8.16,500,CKV
2020-06-19,8.23,8.23,8.16,8.23,6400,CKV
2020-06-22,8.23,8.23,8.23,8.23,0,CKV
2020-06-23,8.37,8.37,8.37,8.37,200,CKV
2020-06-24,8.37,8.37,8.37,8.37,0,CKV
2020-06-25,8.37,8.37,8.37,8.37,0,CKV
2020-06-26,8.3,8.5,8.3,8.5,1100,CKV
2020-06-29,8.5,8.5,8.5,8.5,0,CKV
2020-06-30,8.91,8.91,8.91,8.91,4400,CKV
2020-07-01,8.91,8.91,8.91,8.91,0,CKV
2020-07-02,8.91,8.91,8.91,8.91,0,CKV
2020-07-03,8.91,8.91,8.91,8.91,0,CKV
2020-07-06,8.91,8.91,8.91,8.91,0,CKV
2020-07-07,8.91,8.91,8.91,8.91,0,CKV
2020-07-08,8.91,8.91,8.91,8.91,0,CKV
2020-07-09,8.91,8.91,8.91,8.91,0,CKV
2020-07-10,8.78,8.78,8.23,8.23,2500,CKV
2020-07-13,8.91,8.91,7.82,7.82,2450,CKV
2020-07-14,7.82,7.82,7.82,7.82,0,CKV
2020-07-15,7.82,7.82,7.82,7.82,0,CKV
2020-07-16,8.57,8.57,8.57,8.57,200,CKV
2020-07-17,8.87,8.87,8.87,8.87,100,CKV
2020-07-20,8.94,8.94,8.94,8.94,200,CKV
2020-07-21,8.87,8.87,8.87,8.87,200,CKV
2020-07-22,8.87,8.87,8.87,8.87,0,CKV
2020-07-23,9.32,9.32,9.32,9.32,200,CKV
2020-07-24,9.32,9.32,9.32,9.32,0,CKV
2020-07-27,9.32,9.32,9.32,9.32,0,CKV
2020-07-28,9.32,9.32,9.32,9.32,0,CKV
2020-07-29,8.42,8.42,8.42,8.42,100,CKV
2020-07-30,9.24,9.24,7.67,8.27,500,CKV
2020-07-31,8.49,8.49,8.49,8.49,800,CKV
2020-08-03,7.74,7.74,7.74,7.74,500,CKV
2020-08-04,7.14,8.34,7.14,8.34,400,CKV
2020-08-05,7.59,8.19,7.59,8.19,400,CKV
2020-08-06,8.19,8.19,8.19,8.19,0,CKV
2020-08-07,8.19,8.19,8.19,8.19,0,CKV
2020-08-10,8.19,8.19,8.19,8.19,0,CKV
2020-08-11,8.19,8.19,8.19,8.19,0,CKV
2020-08-12,8.19,8.19,8.19,8.19,0,CKV
2020-08-13,8.87,8.87,8.87,8.87,100,CKV
2020-08-14,8.87,8.87,8.87,8.87,0,CKV
2020-08-17,8.87,8.87,8.87,8.87,0,CKV
2020-08-18,9.32,9.32,9.32,9.32,100,CKV
2020-08-19,9.32,9.32,9.32,9.32,0,CKV
2020-08-20,9.32,9.32,9.32,9.32,0,CKV
2020-08-21,10.15,10.15,10.15,10.15,100,CKV
2020-08-24,9.17,9.17,9.17,9.17,4700,CKV
2020-08-25,8.64,8.64,8.64,8.64,201,CKV
2020-08-26,9.4,9.4,9.4,9.4,100,CKV
2020-08-27,8.57,8.57,8.57,8.57,500,CKV
2020-08-28,8.57,9.32,8.57,9.32,2000,CKV
2020-08-31,9.4,9.4,9.17,9.17,2300,CKV
2020-09-01,9.85,9.85,9.85,9.85,100,CKV
2020-09-03,10.75,10.75,10.75,10.75,100,CKV
2020-09-04,10.75,10.75,10.75,10.75,0,CKV
2020-09-07,9.7,9.7,9.7,9.7,100,CKV
2020-09-08,8.79,8.79,8.79,8.79,1100,CKV
2020-09-09,8.79,8.79,8.79,8.79,9100,CKV
2020-09-10,9.55,9.55,9.55,9.55,100,CKV
2020-09-11,9.55,9.55,9.55,9.55,0,CKV
2020-09-14,8.94,8.94,8.64,8.64,700,CKV
2020-09-15,9.4,9.4,9.4,9.4,100,CKV
2020-09-16,9.77,9.77,9.77,9.77,100,CKV
2020-09-17,9.77,9.77,9.77,9.77,0,CKV
2020-09-18,9.77,9.77,9.77,9.77,0,CKV
2020-09-21,9.77,9.77,9.77,9.77,0,CKV
2020-09-22,9.77,9.77,9.77,9.77,0,CKV
2020-09-23,8.79,8.79,8.79,8.79,300,CKV
2020-09-24,8.79,8.79,8.79,8.79,0,CKV
2020-09-25,8.79,8.79,8.79,8.79,0,CKV
2020-09-28,8.79,8.79,8.79,8.79,100,CKV
2020-09-29,8.79,8.79,8.79,8.79,0,CKV
2020-09-30,9.17,9.17,9.17,9.17,700,CKV
2020-10-01,8.27,8.34,8.27,8.27,25030,CKV
2020-10-02,7.67,7.67,7.67,7.67,119,CKV
2020-10-05,7.67,7.67,7.67,7.67,0,CKV
2020-10-06,7.59,7.59,7.59,7.59,300,CKV
2020-10-07,7.22,8.34,7.22,8.34,200,CKV
2020-10-08,8.34,8.34,8.34,8.34,0,CKV
2020-10-09,8.34,8.34,8.34,8.34,0,CKV
2020-10-12,8.27,8.27,7.97,7.97,200,CKV
2020-10-13,8.72,8.72,8.72,8.72,100,CKV
2020-10-14,9.47,9.47,9.47,9.47,100,CKV
2020-10-15,9.47,9.47,9.47,9.47,0,CKV
2020-10-16,9.47,9.47,9.47,9.47,0,CKV
2020-10-19,9.47,9.47,9.47,9.47,0,CKV
2020-10-20,9.47,9.47,9.47,9.47,0,CKV
2020-10-21,9.47,9.47,9.47,9.47,0,CKV
2020-10-22,9.47,9.47,9.47,9.47,0,CKV
2020-10-23,9.47,9.47,9.47,9.47,0,CKV
2020-10-26,9.47,9.47,9.47,9.47,0,CKV
2020-10-27,8.57,9.47,8.57,9.47,200,CKV
2020-10-28,8.57,9.02,8.57,9.02,300,CKV
2020-10-29,9.02,9.02,9.02,9.02,0,CKV
2020-10-30,8.12,8.12,8.12,8.12,100,CKV
2020-11-02,8.64,8.64,8.64,8.64,100,CKV
2020-11-03,8.64,8.64,8.64,8.64,0,CKV
2020-11-04,9.02,9.02,9.02,9.02,100,CKV
2020-11-05,9.02,9.02,9.02,9.02,0,CKV
2020-11-06,9.02,9.02,9.02,9.02,0,CKV
2020-11-09,9.92,9.92,9.92,9.92,100,CKV
2020-11-10,9.7,9.7,9.7,9.7,200,CKV
2020-11-11,9.7,9.7,9.7,9.7,0,CKV
2020-11-12,10.6,10.6,10.6,10.6,100,CKV
2020-11-13,9.55,9.55,9.55,9.55,100,CKV
2020-11-16,8.64,8.64,8.64,8.64,200,CKV
2020-11-17,8.64,8.64,8.64,8.64,0,CKV
2020-11-18,8.64,8.64,8.64,8.64,400,CKV
2020-11-19,8.64,8.64,8.64,8.64,0,CKV
2020-11-20,9.4,9.4,9.4,9.4,100,CKV
2020-11-23,9.4,9.4,9.4,9.4,0,CKV
2020-11-24,9.4,9.4,9.4,9.4,0,CKV
2020-11-25,9.4,9.4,9.4,9.4,0,CKV
2020-11-26,9.4,9.4,9.4,9.4,0,CKV
2020-11-27,10.3,10.3,9.32,9.32,1500,CKV
2020-11-30,9.32,9.32,9.32,9.32,0,CKV
2020-12-01,9.32,9.32,9.32,9.32,0,CKV
2020-12-02,9.32,9.32,9.32,9.32,0,CKV
2020-12-03,9.32,9.32,9.32,9.32,0,CKV
2020-12-04,9.32,9.32,9.32,9.32,0,CKV
2020-12-07,9.32,9.32,9.32,9.32,0,CKV
2020-12-08,9.32,9.32,9.32,9.32,0,CKV
2020-12-09,8.42,10.22,8.42,10.22,1500,CKV
2020-12-10,9.24,9.85,9.24,9.85,3200,CKV
2020-12-11,9.85,9.85,9.85,9.85,0,CKV
2020-12-14,8.94,9.7,8.94,9.7,1500,CKV
2020-12-15,9.7,9.7,9.7,9.7,0,CKV
2020-12-16,8.87,9.7,8.87,9.7,1300,CKV
2020-12-17,8.79,9.7,8.79,9.7,2500,CKV
2020-12-18,9.7,9.7,9.7,9.7,0,CKV
2020-12-21,9.7,9.7,9.7,9.7,0,CKV
2020-12-22,8.79,10.6,8.79,10.6,20600,CKV
2020-12-23,10.37,11.5,10.37,11.5,87000,CKV
2020-12-24,10.37,11.65,10.37,11.65,1500,CKV
2020-12-25,10.52,11.65,10.52,11.65,532500,CKV
2020-12-28,10.52,10.52,10.52,10.52,5400,CKV
2020-12-29,9.47,9.47,9.47,9.47,22000,CKV
2020-12-30,8.64,8.72,8.57,8.57,43100,CKV
2020-12-31,8.57,8.57,8.27,8.42,1100,CKV
2021-01-04,8.42,8.79,8.42,8.79,20100,CKV
2021-01-05,8.64,8.64,8.64,8.64,300,CKV
2021-01-06,8.64,8.64,8.34,8.34,29200,CKV
2021-01-07,8.34,8.34,8.34,8.34,0,CKV
2021-01-08,8.79,8.79,8.34,8.34,700,CKV
2021-01-11,8.34,8.34,8.34,8.34,0,CKV
2021-01-12,8.64,8.64,8.64,8.64,200,CKV
2021-01-13,8.64,8.94,8.64,8.87,8500,CKV
2021-01-14,8.64,8.64,8.64,8.64,12900,CKV
2021-01-15,8.64,8.79,8.64,8.79,6200,CKV
2021-01-18,8.79,8.79,8.64,8.64,1250,CKV
2021-01-19,8.72,8.72,8.64,8.64,13100,CKV
2021-01-20,8.94,8.94,8.64,8.94,7400,CKV
2021-01-21,8.94,8.94,8.79,8.79,2500,CKV
2021-01-22,8.79,8.79,8.79,8.79,0,CKV
2021-01-25,9.02,9.02,9.02,9.02,120,CKV
2021-01-26,8.49,8.79,8.42,8.79,42100,CKV
2021-01-27,8.79,8.79,8.79,8.79,20,CKV
2021-01-28,8.79,8.79,8.79,8.79,0,CKV
2021-01-29,7.97,8.79,7.97,8.79,2010,CKV
2021-02-01,8.34,8.34,8.34,8.34,600,CKV
2021-02-02,8.34,8.34,8.34,8.34,300,CKV
2021-02-03,8.57,8.57,8.57,8.57,2000,CKV
2021-02-04,8.57,8.57,8.57,8.57,2110,CKV
2021-02-05,8.57,8.57,8.57,8.57,2100,CKV
2021-02-08,8.57,8.57,8.57,8.57,0,CKV
2021-02-09,8.57,8.57,8.57,8.57,0,CKV
2021-02-17,8.57,8.57,8.57,8.57,200,CKV
2021-02-18,8.57,8.57,8.57,8.57,1000,CKV
2021-02-19,8.57,8.72,8.57,8.72,12000,CKV
2021-02-22,8.87,8.94,8.87,8.87,25100,CKV
2021-02-23,9.02,9.02,9.02,9.02,7400,CKV
2021-02-24,9.02,9.02,9.02,9.02,0,CKV
2021-02-25,9.02,9.02,9.02,9.02,2300,CKV
2021-02-26,9.02,9.17,9.02,9.17,1549,CKV
2021-03-01,9.17,9.4,9.17,9.4,6600,CKV
2021-03-02,9.4,9.4,9.4,9.4,100,CKV
2021-03-03,9.4,9.4,9.4,9.4,0,CKV
2021-03-04,9.4,9.4,9.4,9.4,0,CKV
2021-03-05,9.77,9.77,9.62,9.7,18400,CKV
2021-03-08,9.77,9.77,9.77,9.77,11600,CKV
2021-03-09,9.77,9.77,9.77,9.77,4201,CKV
2021-03-10,9.77,9.77,9.77,9.77,4000,CKV
2021-03-11,9.77,9.77,9.77,9.77,1000,CKV
2021-03-12,9.77,9.77,9.77,9.77,1500,CKV
2021-03-15,10.15,10.15,10.15,10.15,2000,CKV
2021-03-16,10.52,10.52,10.52,10.52,12000,CKV
2021-03-17,10.52,10.52,10.52,10.52,13500,CKV
2021-03-18,10.52,10.52,10.52,10.52,0,CKV
2021-03-19,10.52,10.52,10.52,10.52,3100,CKV
2021-03-22,10.52,10.52,10.52,10.52,0,CKV
2021-03-23,10.52,10.52,10.52,10.52,4000,CKV
2021-03-24,10.52,10.52,10.52,10.52,1400,CKV
2021-03-25,10.52,10.52,10.52,10.52,0,CKV
2021-03-26,10.52,10.52,10.52,10.52,0,CKV
2021-03-29,10.52,10.52,10.52,10.52,1,CKV
2021-03-30,10.52,10.52,10.52,10.52,701,CKV
2021-03-31,10.52,10.52,10.52,10.52,1400,CKV
2021-04-01,10.52,10.52,10.52,10.52,1100,CKV
2021-04-02,10.52,10.52,10.52,10.52,0,CKV
2021-04-05,10.52,10.52,10.52,10.52,0,CKV
2021-04-06,10.52,10.52,10.52,10.52,200,CKV
2021-04-07,10.52,10.52,10.52,10.52,0,CKV
2021-04-08,10.52,10.52,10.52,10.52,0,CKV
2021-04-09,10.52,10.52,10.52,10.52,1000,CKV
2021-04-12,10.52,10.52,9.47,9.47,31909,CKV
2021-04-13,10.37,10.37,10.37,10.37,31909,CKV
2021-04-14,10.37,10.37,10.37,10.37,118800,CKV
2021-04-15,10.37,10.37,10.37,10.37,9400,CKV
2021-04-16,9.77,10.37,9.77,10.37,123600,CKV
2021-04-19,10.3,10.3,10.3,10.3,100,CKV
2021-04-20,10.22,10.22,10.22,10.22,100,CKV
2021-04-22,10.15,10.15,10.15,10.15,2400,CKV
2021-04-23,10.15,10.15,10.15,10.15,7000,CKV
2021-04-26,10.15,10.15,10.15,10.15,3000,CKV
2021-04-27,10.15,10.15,10.15,10.15,5500,CKV
2021-04-28,10.15,10.15,10.15,10.15,0,CKV
2021-04-29,10.52,10.52,10.52,10.52,200,CKV
2021-05-04,9.77,9.77,9.77,9.77,500,CKV
2021-05-05,10.37,10.37,10.37,10.37,51900,CKV
2021-05-06,10.37,10.37,10.37,10.37,200,CKV
2021-05-07,10.15,10.15,10.15,10.15,1700,CKV
2021-05-10,9.55,9.55,9.55,9.55,7600,CKV
2021-05-11,9.7,9.77,9.7,9.77,5600,CKV
2021-05-12,10.0,10.0,10.0,10.0,5000,CKV
2021-05-13,10.0,10.0,10.0,10.0,0,CKV
2021-05-14,9.77,9.77,9.77,9.77,6300,CKV
2021-05-17,9.77,9.77,9.77,9.77,0,CKV
2021-05-18,9.77,9.77,9.77,9.77,239,CKV
2021-05-19,9.77,9.77,9.77,9.77,0,CKV
2021-05-20,10.37,10.37,10.37,10.37,100,CKV
2021-05-21,10.37,10.37,10.37,10.37,0,CKV
2021-05-24,10.37,10.37,10.37,10.37,8300,CKV
2021-05-25,10.37,10.37,10.37,10.37,1100,CKV
2021-05-26,10.37,10.37,10.37,10.37,0,CKV
2021-05-27,10.37,10.37,10.37,10.37,0,CKV
2021-05-28,10.37,10.37,10.37,10.37,0,CKV
2021-05-31,9.77,9.77,9.77,9.77,300,CKV
2021-06-01,9.77,9.77,9.77,9.77,0,CKV
2021-06-02,9.77,9.77,9.77,9.77,0,CKV
2021-06-03,9.77,9.77,9.77,9.77,100,CKV
2021-06-04,9.77,9.77,9.77,9.77,0,CKV
2021-06-07,9.77,9.77,9.77,9.77,500,CKV
2021-06-08,9.77,9.77,9.77,9.77,3800,CKV
2021-06-09,9.77,9.77,9.77,9.77,2200,CKV
2021-06-10,9.77,9.77,9.77,9.77,1000,CKV
2021-06-11,9.77,9.77,9.77,9.77,0,CKV
2021-06-14,9.77,9.77,9.77,9.77,0,CKV
2021-06-15,9.77,9.77,9.77,9.77,0,CKV
2021-06-16,9.77,9.77,9.77,9.77,0,CKV
2021-06-17,9.77,9.77,9.77,9.77,0,CKV
2021-06-18,9.77,9.77,9.77,9.77,0,CKV
2021-06-21,9.77,9.77,9.77,9.77,3000,CKV
2021-06-22,9.77,9.77,9.77,9.77,0,CKV
2021-06-23,9.77,9.77,9.77,9.77,0,CKV
2021-06-24,9.77,9.77,9.77,9.77,0,CKV
2021-06-25,9.77,9.77,9.77,9.77,0,CKV
2021-06-28,10.15,10.37,10.15,10.37,40100,CKV
2021-06-29,10.37,10.37,10.37,10.37,17200,CKV
2021-06-30,10.37,10.37,10.37,10.37,0,CKV
2021-07-01,10.37,10.37,10.37,10.37,0,CKV
2021-07-02,10.37,10.37,10.37,10.37,0,CKV
2021-07-05,10.37,10.37,10.37,10.37,0,CKV
2021-07-06,10.37,10.37,10.37,10.37,3800,CKV
2021-07-07,10.37,10.37,10.37,10.37,0,CKV
2021-07-08,10.37,10.37,10.37,10.37,0,CKV
2021-07-09,10.37,10.37,10.37,10.37,0,CKV
2021-07-12,10.37,10.37,10.37,10.37,0,CKV
2021-07-13,10.37,10.37,10.37,10.37,0,CKV
2021-07-14,10.37,10.37,10.37,10.37,0,CKV
2021-07-15,10.37,10.37,10.37,10.37,0,CKV
2021-07-16,10.37,10.37,10.37,10.37,0,CKV
2021-07-19,10.37,10.37,10.37,10.37,0,CKV
2021-07-20,10.37,10.37,10.37,10.37,0,CKV
2021-07-21,10.37,10.37,10.37,10.37,0,CKV
2021-07-22,10.37,10.37,10.37,10.37,0,CKV
2021-07-23,10.37,10.37,10.37,10.37,0,CKV
2021-07-26,10.37,10.37,10.37,10.37,0,CKV
2021-07-27,10.37,10.37,10.37,10.37,0,CKV
2021-07-28,10.37,10.37,10.37,10.37,0,CKV
2021-07-29,10.37,10.37,10.37,10.37,0,CKV
2021-07-30,10.37,10.37,10.37,10.37,0,CKV
2021-08-02,10.37,10.37,10.37,10.37,0,CKV
2021-08-03,10.37,10.37,10.37,10.37,0,CKV
2021-08-04,10.37,10.37,10.37,10.37,0,CKV
2021-08-05,10.37,10.37,10.37,10.37,0,CKV
2021-08-06,10.37,10.37,10.37,10.37,49100,CKV
2021-08-09,10.37,10.37,10.37,10.37,43000,CKV
2021-08-10,10.45,10.45,10.45,10.45,800,CKV
2021-08-11,10.45,10.45,10.45,10.45,0,CKV
2021-08-12,10.45,10.45,10.45,10.45,100,CKV
2021-08-13,10.45,10.45,10.45,10.45,0,CKV
2021-08-16,10.45,10.45,10.45,10.45,0,CKV
2021-08-17,10.45,10.45,10.45,10.45,0,CKV
2021-08-18,10.45,10.45,10.45,10.45,0,CKV
2021-08-19,10.45,10.45,10.45,10.45,0,CKV
2021-08-20,10.45,10.45,10.45,10.45,0,CKV
2021-08-23,10.45,10.45,10.45,10.45,0,CKV
